,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
40,,,,,0.19,83.9691,0.19,83.9691,0.09,83.9691,-0.0,83.9691,-0.1,83.9691,83.9691,86.46395
41,,,,,0.2,83.9691,0.2,83.9691,0.1,83.9691,0.0,83.9691,-0.09,83.9691,83.9691,86.46395
42,,,,,,,0.21,83.9691,0.11,83.9691,0.01,83.9691,-0.08,83.9691,83.9691,86.46395
43,,,,,,,0.22,83.9691,0.12,83.9691,0.02,83.9691,-0.07,83.9691,83.9691,86.46395
44,,,,,,,0.23,83.9691,0.13,83.9691,0.03,83.9691,-0.06,83.9691,83.9691,86.46395
45,,,,,,,0.24,83.9691,0.14,83.9691,0.04,83.9691,-0.05,83.9691,83.9691,86.46395
46,,,,,,,0.25,83.9691,0.15,83.9691,0.05,83.9691,-0.04,83.9691,83.9691,86.46395
47,,,,,,,0.26,83.9691,0.16,83.9691,0.06,83.9691,-0.03,83.9691,83.9691,86.46395
48,,,,,,,0.27,83.9691,0.17,83.9691,0.07,83.9691,-0.02,83.9691,83.9691,86.46395
49,,,,,,,0.28,83.9691,0.18,83.9691,0.08,83.9691,-0.01,83.9691,83.9691,86.46395
50,,,,,,,0.29,83.9691,0.19,83.9691,0.09,83.9691,-0.0,83.9691,83.9691,86.46395
51,,,,,,,0.3,83.9691,0.2,83.9691,0.1,83.9691,0.0,83.9691,83.9691,86.46395
52,,,,,,,,,0.21,83.9691,0.11,83.9691,0.01,83.9691,83.9691,86.46395
53,,,,,,,,,0.22,83.9691,0.12,83.9691,0.02,83.9691,83.9691,86.46395
