,H,"payoff(eta = (0.00H, H))","payoff(eta = (0.50H, H))","payoff(eta = (0.67H, H))","payoff(eta = (0.75H, H))",pure online,best price
0,0.0,86.06165000000026,86.06165000000026,86.06165000000026,86.06165000000026,83.82250000000002,86.46395
1,1.0,85.71099815,85.35473609999976,85.36257384999979,85.36288104999979,83.82250000000002,86.46395
2,2.0,85.39611179999997,85.05506299999986,85.01755989999985,85.01712919999987,83.82250000000002,86.46395
3,3.0,85.08367689999997,84.67067739999986,84.67205294999988,84.58364619999972,83.82250000000002,86.46395
4,4.0,84.78340139999997,84.38911814999982,84.30852879999983,84.30724819999986,83.82250000000002,86.46395
5,5.0,84.5363977499999,84.05692519999985,84.00909354999979,84.00685274999981,83.82250000000002,86.46395
6,6.0,84.3044306499999,83.87693134999981,83.83270074999983,83.75874519999984,83.82250000000002,86.46395
7,7.0,84.09611394999989,83.65253334999987,83.60819929999988,83.55546889999985,83.82250000000002,86.46395
8,8.0,83.9238492499999,83.50753814999989,83.4118158999999,83.41190909999989,83.82250000000002,86.46395
9,9.0,83.77340994999996,83.32924944999995,83.29368015,83.23880025,83.82250000000002,86.46395
10,10.0,83.6412689,83.21126835000001,83.13288250000004,83.08512170000007,83.82250000000002,86.46395
11,11.0,83.50235160000003,83.06394835000005,82.99957520000002,82.97189740000005,83.82250000000002,86.46395
12,12.0,83.39277995000003,82.99126060000006,82.94758855000006,82.93335800000007,83.82250000000002,86.46395
13,13.0,83.30826245000007,82.93214980000008,82.9126342000001,82.90956610000009,83.82250000000002,86.46395
14,14.0,83.22916055000007,82.91700940000008,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
15,15.0,83.1860469000001,82.9061571000001,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
16,16.0,83.15346780000013,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
17,17.0,83.10182325000012,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
18,18.0,83.0907165000001,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
19,19.0,83.0683286500001,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
20,20.0,83.06647665000013,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
21,21.0,83.05256850000013,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
22,22.0,83.04561695000011,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
23,23.0,83.05296360000013,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
24,24.0,83.03535900000011,82.91997450000011,82.91963765000011,82.92653025000011,83.82250000000002,86.46395
25,25.0,83.04796810000012,82.91589555000013,82.9179749000001,82.92880890000012,83.82250000000002,86.46395
