,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.25),payoff(r=1.50)
0,-0.5,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,86.46395
1,-0.499,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
2,-0.498,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
3,-0.497,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
4,-0.496,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
5,-0.495,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
6,-0.494,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
7,-0.493,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
8,-0.492,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
9,-0.491,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
10,-0.49,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
11,-0.489,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
12,-0.488,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
13,-0.487,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
14,-0.486,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
15,-0.485,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
16,-0.484,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
17,-0.483,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
18,-0.482,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
19,-0.481,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
20,-0.48,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
21,-0.479,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
22,-0.478,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
23,-0.477,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
24,-0.476,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
25,-0.475,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
26,-0.474,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
27,-0.473,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
28,-0.472,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
29,-0.471,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
30,-0.47,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
31,-0.469,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
32,-0.468,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
33,-0.467,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
34,-0.466,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
35,-0.465,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
36,-0.464,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
37,-0.463,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
38,-0.462,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
39,-0.461,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
40,-0.46,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
41,-0.459,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
42,-0.458,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
43,-0.457,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
44,-0.456,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
45,-0.455,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
46,-0.454,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
47,-0.453,83.82250000000002,86.46395,82.90455,82.90455,82.90455,82.90455,83.07065
