,H,"payoff(eta = (0.00H, H))","payoff(eta = (0.50H, H))","payoff(eta = (0.67H, H))","payoff(eta = (0.75H, H))",pure online,best price
0,0.0,86.06165000000026,86.06165000000026,86.06165000000026,86.06165000000026,83.82250000000002,86.46395
1,1.0,85.71326725000002,85.36538684999978,85.3591665999998,85.35519949999978,83.82250000000002,86.46395
2,2.0,85.39674339999999,85.05524544999986,85.01784419999986,85.01699049999985,83.82250000000002,86.46395
3,3.0,85.07637979999996,84.66943704999986,84.66957554999986,84.58699059999977,83.82250000000002,86.46395
4,4.0,84.78714689999995,84.39678374999983,84.3077988499999,84.30247689999986,83.82250000000002,86.46395
5,5.0,84.52956454999989,84.05882669999986,84.0086399999998,84.00893684999981,83.82250000000002,86.46395
6,6.0,84.29670304999989,83.88204879999982,83.83330444999987,83.75763299999986,83.82250000000002,86.46395
7,7.0,84.10286754999996,83.65728809999986,83.61125399999987,83.55936254999986,83.82250000000002,86.46395
8,8.0,83.92220169999993,83.50892104999988,83.41291959999988,83.41205004999988,83.82250000000002,86.46395
9,9.0,83.78175079999995,83.32299329999996,83.28889070000001,83.23889085000002,83.82250000000002,86.46395
10,10.0,83.6072779,83.20643645,83.13129515000004,83.08406655000006,83.82250000000002,86.46395
11,11.0,83.4891097,83.06371835000003,82.99993790000003,82.97130150000005,83.82250000000002,86.46395
12,12.0,83.39322040000005,82.99346425000007,82.94629500000008,82.93191345000007,83.82250000000002,86.46395
13,13.0,83.30528990000008,82.93365625000008,82.9119037000001,82.90971220000009,83.82250000000002,86.46395
14,14.0,83.23678910000007,82.91736810000009,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
15,15.0,83.19515380000007,82.9061571000001,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
16,16.0,83.14560150000011,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
17,17.0,83.1238331000001,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
18,18.0,83.09651095000011,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
19,19.0,83.08209880000011,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
20,20.0,83.06693095000011,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
21,21.0,83.0542916000001,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
22,22.0,83.04073925000012,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
23,23.0,83.0346703000001,82.90455000000011,82.90455000000011,82.90455000000011,83.82250000000002,86.46395
24,24.0,83.04202330000012,82.91345295000013,82.92142875000012,82.92683490000012,83.82250000000002,86.46395
25,25.0,83.03865530000012,82.91553430000013,82.92278365000011,82.92307185000011,83.82250000000002,86.46395
