,eta,pure online,best price,payoff(r=0.96),payoff(r=0.98),payoff(r=1.00),payoff(r=1.02),payoff(r=1.04)
0,-0.04,83.82250000000002,86.46395,86.46395,83.07065,83.07065,83.07065,83.07065
1,-0.03991983967935872,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
2,-0.03983967935871744,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
3,-0.03975951903807615,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
4,-0.03967935871743487,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
5,-0.03959919839679359,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
6,-0.039519038076152306,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
7,-0.039438877755511026,83.82250000000002,86.46395,86.46385,83.07065,83.07065,83.07065,83.07065
8,-0.039358717434869746,83.82250000000002,86.46395,86.4611,83.07065,83.07065,83.07065,83.07065
9,-0.03927855711422846,83.82250000000002,86.46395,86.4611,83.07065,83.07065,83.07065,83.07065
10,-0.03919839679358718,83.82250000000002,86.46395,86.45775,83.07065,83.07065,83.07065,83.07065
11,-0.0391182364729459,83.82250000000002,86.46395,86.45644999999999,83.07065,83.07065,83.07065,83.07065
12,-0.03903807615230461,83.82250000000002,86.46395,86.45644999999999,83.07065,83.07065,83.07065,83.07065
13,-0.03895791583166333,83.82250000000002,86.46395,86.45644999999999,83.07065,83.07065,83.07065,83.07065
14,-0.03887775551102205,83.82250000000002,86.46395,86.4553,83.07065,83.07065,83.07065,83.07065
15,-0.038797595190380764,83.82250000000002,86.46395,86.4553,83.07065,83.07065,83.07065,83.07065
16,-0.038717434869739484,83.82250000000002,86.46395,86.44945,83.07065,83.07065,83.07065,83.07065
17,-0.038637274549098204,83.82250000000002,86.46395,86.44945,83.07065,83.07065,83.07065,83.07065
18,-0.03855711422845692,83.82250000000002,86.46395,86.44945,83.07065,83.07065,83.07065,83.07065
19,-0.038476953907815636,83.82250000000002,86.46395,86.44945,83.07065,83.07065,83.07065,83.07065
20,-0.03839679358717435,83.82250000000002,86.46395,86.44945,83.07065,83.07065,83.07065,83.07065
21,-0.03831663326653307,83.82250000000002,86.46395,86.44945,83.07065,83.07065,83.07065,83.07065
22,-0.03823647294589179,83.82250000000002,86.46395,86.44514999999998,83.07065,83.07065,83.07065,83.07065
23,-0.0381563126252505,83.82250000000002,86.46395,86.44514999999998,83.07065,83.07065,83.07065,83.07065
24,-0.03807615230460922,83.82250000000002,86.46395,86.44514999999998,83.07065,83.07065,83.07065,83.07065
25,-0.03799599198396794,83.82250000000002,86.46395,86.44514999999998,83.07065,83.07065,83.07065,83.07065
26,-0.037915831663326655,83.82250000000002,86.46395,86.44514999999998,83.07065,83.07065,83.07065,83.07065
27,-0.037835671342685374,83.82250000000002,86.46395,86.44514999999998,83.07065,83.07065,83.07065,83.07065
28,-0.037755511022044094,83.82250000000002,86.46395,86.4431,83.07065,83.07065,83.07065,83.07065
29,-0.03767535070140281,83.82250000000002,86.46395,86.42355,83.07065,83.07065,83.07065,83.07065
30,-0.03759519038076153,83.82250000000002,86.46395,86.42355,83.07065,83.07065,83.07065,83.07065
31,-0.03751503006012025,83.82250000000002,86.46395,86.42355,83.07065,83.07065,83.07065,83.07065
32,-0.03743486973947896,83.82250000000002,86.46395,86.36770000000001,83.07065,83.07065,83.07065,83.07065
33,-0.03735470941883768,83.82250000000002,86.46395,86.3665,83.07065,83.07065,83.07065,83.07065
34,-0.0372745490981964,83.82250000000002,86.46395,86.35364999999999,83.07065,83.07065,83.07065,83.07065
35,-0.03719438877755511,83.82250000000002,86.46395,86.3416,83.07065,83.07065,83.07065,83.07065
36,-0.03711422845691383,83.82250000000002,86.46395,86.3416,83.07065,83.07065,83.07065,83.07065
37,-0.03703406813627255,83.82250000000002,86.46395,86.3385,83.07065,83.07065,83.07065,83.07065
38,-0.036953907815631265,83.82250000000002,86.46395,86.3385,83.07065,83.07065,83.07065,83.07065
39,-0.036873747494989985,83.82250000000002,86.46395,86.2675,83.07065,83.07065,83.07065,83.07065
40,-0.0367935871743487,83.82250000000002,86.46395,86.25905,83.07065,83.07065,83.07065,83.07065
41,-0.03671342685370742,83.82250000000002,86.46395,86.25495000000001,83.07065,83.07065,83.07065,83.07065
42,-0.03663326653306614,83.82250000000002,86.46395,86.25475000000002,83.07065,83.07065,83.07065,83.07065
43,-0.03655310621242485,83.82250000000002,86.46395,86.25475000000002,83.07065,83.07065,83.07065,83.07065
44,-0.03647294589178357,83.82250000000002,86.46395,86.25475000000002,83.07065,83.07065,83.07065,83.07065
45,-0.03639278557114229,83.82250000000002,86.46395,86.25475000000002,83.07065,83.07065,83.07065,83.07065
46,-0.036312625250501,83.82250000000002,86.46395,86.239,83.07065,83.07065,83.07065,83.07065
47,-0.03623246492985972,83.82250000000002,86.46395,86.239,83.07065,83.07065,83.07065,83.07065
48,-0.03615230460921844,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
49,-0.036072144288577156,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
50,-0.035991983967935876,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
51,-0.035911823647294595,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
52,-0.03583166332665331,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
53,-0.03575150300601203,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
54,-0.03567134268537075,83.82250000000002,86.46395,86.2222,83.07065,83.07065,83.07065,83.07065
55,-0.03559118236472946,83.82250000000002,86.46395,86.21520000000001,83.07065,83.07065,83.07065,83.07065
56,-0.03551102204408818,83.82250000000002,86.46395,86.21520000000001,83.07065,83.07065,83.07065,83.07065
57,-0.0354308617234469,83.82250000000002,86.46395,86.21520000000001,83.07065,83.07065,83.07065,83.07065
58,-0.035350701402805614,83.82250000000002,86.46395,86.21085000000001,83.07065,83.07065,83.07065,83.07065
59,-0.03527054108216433,83.82250000000002,86.46395,86.20135,83.07065,83.07065,83.07065,83.07065
60,-0.035190380761523046,83.82250000000002,86.46395,86.20135,83.07065,83.07065,83.07065,83.07065
61,-0.035110220440881766,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
62,-0.035030060120240486,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
63,-0.0349498997995992,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
64,-0.03486973947895792,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
65,-0.03478957915831664,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
66,-0.03470941883767535,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
67,-0.03462925851703407,83.82250000000002,86.46395,86.20054999999999,83.07065,83.07065,83.07065,83.07065
68,-0.03454909819639279,83.82250000000002,86.46395,86.18015,83.07065,83.07065,83.07065,83.07065
69,-0.034468937875751504,83.82250000000002,86.46395,86.18015,83.07065,83.07065,83.07065,83.07065
70,-0.034388777555110224,83.82250000000002,86.46395,86.17035000000001,83.07065,83.07065,83.07065,83.07065
71,-0.034308617234468944,83.82250000000002,86.46395,86.15850000000002,83.07065,83.07065,83.07065,83.07065
72,-0.03422845691382766,83.82250000000002,86.46395,86.15850000000002,83.07065,83.07065,83.07065,83.07065
73,-0.03414829659318638,83.82250000000002,86.46395,86.15200000000002,83.07065,83.07065,83.07065,83.07065
74,-0.034068136272545096,83.82250000000002,86.46395,86.15200000000002,83.07065,83.07065,83.07065,83.07065
75,-0.03398797595190381,83.82250000000002,86.46395,86.15200000000002,83.07065,83.07065,83.07065,83.07065
76,-0.03390781563126253,83.82250000000002,86.46395,86.15200000000002,83.07065,83.07065,83.07065,83.07065
77,-0.03382765531062125,83.82250000000002,86.46395,86.15200000000002,83.07065,83.07065,83.07065,83.07065
78,-0.03374749498997996,83.82250000000002,86.46395,86.15200000000002,83.07065,83.07065,83.07065,83.07065
79,-0.03366733466933868,83.82250000000002,86.46395,86.14955,83.07065,83.07065,83.07065,83.07065
80,-0.033587174348697395,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
81,-0.033507014028056115,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
82,-0.033426853707414834,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
83,-0.03334669338677355,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
84,-0.03326653306613227,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
85,-0.03318637274549099,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
86,-0.0331062124248497,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
87,-0.03302605210420842,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
88,-0.03294589178356714,83.82250000000002,86.46395,86.14510000000001,83.07065,83.07065,83.07065,83.07065
89,-0.03286573146292585,83.82250000000002,86.46395,86.0665,83.07065,83.07065,83.07065,83.07065
90,-0.03278557114228457,83.82250000000002,86.46395,86.0665,83.07065,83.07065,83.07065,83.07065
91,-0.03270541082164329,83.82250000000002,86.46395,86.06205000000001,83.07065,83.07065,83.07065,83.07065
92,-0.032625250501002005,83.82250000000002,86.46395,86.06205000000001,83.07065,83.07065,83.07065,83.07065
93,-0.032545090180360725,83.82250000000002,86.46395,86.06205000000001,83.07065,83.07065,83.07065,83.07065
94,-0.032464929859719445,83.82250000000002,86.46395,86.06205000000001,83.07065,83.07065,83.07065,83.07065
95,-0.03238476953907816,83.82250000000002,86.46395,86.05345000000003,83.07065,83.07065,83.07065,83.07065
96,-0.03230460921843688,83.82250000000002,86.46395,86.05345000000003,83.07065,83.07065,83.07065,83.07065
97,-0.0322244488977956,83.82250000000002,86.46395,86.05345000000003,83.07065,83.07065,83.07065,83.07065
98,-0.03214428857715431,83.82250000000002,86.46395,86.05345000000003,83.07065,83.07065,83.07065,83.07065
99,-0.03206412825651303,83.82250000000002,86.46395,86.05345000000003,83.07065,83.07065,83.07065,83.07065
100,-0.03198396793587174,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
101,-0.03190380761523046,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
102,-0.03182364729458918,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
103,-0.031743486973947896,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
104,-0.031663326653306616,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
105,-0.031583166332665336,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
106,-0.03150300601202405,83.82250000000002,86.46395,86.04705000000001,83.07065,83.07065,83.07065,83.07065
107,-0.03142284569138277,83.82250000000002,86.46395,86.0352,83.07065,83.07065,83.07065,83.07065
108,-0.03134268537074149,83.82250000000002,86.46395,86.02965,83.07065,83.07065,83.07065,83.07065
109,-0.0312625250501002,83.82250000000002,86.46395,86.01660000000001,83.07065,83.07065,83.07065,83.07065
110,-0.03118236472945892,83.82250000000002,86.46395,86.01660000000001,83.07065,83.07065,83.07065,83.07065
111,-0.031102204408817637,83.82250000000002,86.46395,86.01660000000001,83.07065,83.07065,83.07065,83.07065
112,-0.031022044088176357,83.82250000000002,86.46395,86.01565000000002,83.07065,83.07065,83.07065,83.07065
113,-0.030941883767535074,83.82250000000002,86.46395,86.01565000000002,83.07065,83.07065,83.07065,83.07065
114,-0.03086172344689379,83.82250000000002,86.46395,86.01565000000002,83.07065,83.07065,83.07065,83.07065
115,-0.030781563126252506,83.82250000000002,86.46395,86.01565000000002,83.07065,83.07065,83.07065,83.07065
116,-0.030701402805611226,83.82250000000002,86.46395,86.01565000000002,83.07065,83.07065,83.07065,83.07065
117,-0.030621242484969943,83.82250000000002,86.46395,86.01380000000002,83.07065,83.07065,83.07065,83.07065
118,-0.03054108216432866,83.82250000000002,86.46395,86.01380000000002,83.07065,83.07065,83.07065,83.07065
119,-0.03046092184368738,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
120,-0.030380761523046095,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
121,-0.03030060120240481,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
122,-0.03022044088176353,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
123,-0.030140280561122248,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
124,-0.030060120240480964,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
125,-0.029979959919839684,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
126,-0.0298997995991984,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
127,-0.029819639278557117,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
128,-0.029739478957915833,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
129,-0.029659318637274553,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
130,-0.02957915831663327,83.82250000000002,86.46395,85.88340000000002,83.07065,83.07065,83.07065,83.07065
131,-0.029498997995991986,83.82250000000002,86.46395,85.86620000000002,83.07065,83.07065,83.07065,83.07065
132,-0.029418837675350706,83.82250000000002,86.46395,85.79510000000002,83.07065,83.07065,83.07065,83.07065
133,-0.029338677354709422,83.82250000000002,86.46395,85.79510000000002,83.07065,83.07065,83.07065,83.07065
134,-0.02925851703406814,83.82250000000002,86.46395,85.79510000000002,83.07065,83.07065,83.07065,83.07065
135,-0.02917835671342686,83.82250000000002,86.46395,85.79510000000002,83.07065,83.07065,83.07065,83.07065
136,-0.029098196392785575,83.82250000000002,86.46395,85.78720000000001,83.07065,83.07065,83.07065,83.07065
137,-0.02901803607214429,83.82250000000002,86.46395,85.77900000000002,83.07065,83.07065,83.07065,83.07065
138,-0.028937875751503007,83.82250000000002,86.46395,85.77900000000002,83.07065,83.07065,83.07065,83.07065
139,-0.028857715430861727,83.82250000000002,86.46395,85.77900000000002,83.07065,83.07065,83.07065,83.07065
140,-0.028777555110220444,83.82250000000002,86.46395,85.77900000000002,83.07065,83.07065,83.07065,83.07065
141,-0.02869739478957916,83.82250000000002,86.46395,85.74240000000002,83.07065,83.07065,83.07065,83.07065
142,-0.02861723446893788,83.82250000000002,86.46395,85.74240000000002,83.07065,83.07065,83.07065,83.07065
143,-0.028537074148296596,83.82250000000002,86.46395,85.74240000000002,83.07065,83.07065,83.07065,83.07065
144,-0.028456913827655313,83.82250000000002,86.46395,85.71860000000001,83.07065,83.07065,83.07065,83.07065
145,-0.028376753507014033,83.82250000000002,86.46395,85.71860000000001,83.07065,83.07065,83.07065,83.07065
146,-0.02829659318637275,83.82250000000002,86.46395,85.7093,83.07065,83.07065,83.07065,83.07065
147,-0.028216432865731465,83.82250000000002,86.46395,85.7093,83.07065,83.07065,83.07065,83.07065
148,-0.02813627254509018,83.82250000000002,86.46395,85.66945,83.07065,83.07065,83.07065,83.07065
149,-0.0280561122244489,83.82250000000002,86.46395,85.6647,83.07065,83.07065,83.07065,83.07065
150,-0.027975951903807618,83.82250000000002,86.46395,85.6647,83.07065,83.07065,83.07065,83.07065
151,-0.027895791583166334,83.82250000000002,86.46395,85.64965,83.07065,83.07065,83.07065,83.07065
152,-0.027815631262525054,83.82250000000002,86.46395,85.6493,83.07065,83.07065,83.07065,83.07065
153,-0.02773547094188377,83.82250000000002,86.46395,85.6493,83.07065,83.07065,83.07065,83.07065
154,-0.027655310621242487,83.82250000000002,86.46395,85.6493,83.07065,83.07065,83.07065,83.07065
155,-0.027575150300601207,83.82250000000002,86.46395,85.6493,83.07065,83.07065,83.07065,83.07065
156,-0.027494989979959923,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
157,-0.02741482965931864,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
158,-0.027334669338677356,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
159,-0.027254509018036076,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
160,-0.027174348697394792,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
161,-0.02709418837675351,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
162,-0.02701402805611223,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
163,-0.026933867735470945,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
164,-0.02685370741482966,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
165,-0.02677354709418838,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
166,-0.026693386773547097,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
167,-0.026613226452905814,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
168,-0.02653306613226453,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
169,-0.02645290581162325,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
170,-0.026372745490981966,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
171,-0.026292585170340683,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
172,-0.026212424849699403,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
173,-0.02613226452905812,83.82250000000002,86.46395,85.64649999999999,83.07065,83.07065,83.07065,83.07065
174,-0.026052104208416835,83.82250000000002,86.46395,85.63714999999999,83.07065,83.07065,83.07065,83.07065
175,-0.025971943887775555,83.82250000000002,86.46395,85.63714999999999,83.07065,83.07065,83.07065,83.07065
