,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
0,-0.05,19173.655000000002,-0.1,17371.420000000002,-0.2,15272.925,-0.2,14038.495,-0.3,13538.765000000003,-0.4,12079.720000000001,-0.5,12691.175000000001,12691.175000000001,20789.019999999997
1,-0.04,19580.840000000004,-0.09,17877.685,-0.19,15310.755,-0.19,14055.820000000002,-0.29,13538.765000000003,-0.39,12155.615000000002,-0.49,12691.175000000001,12691.175000000001,20789.019999999997
2,-0.03,19863.0,-0.08,18046.89,-0.18,15365.775,-0.18,14077.15,-0.28,13538.765000000003,-0.38,12155.615000000002,-0.48,12691.175000000001,12691.175000000001,20789.019999999997
3,-0.02,20006.894999999997,-0.07,18092.165,-0.17,15789.3,-0.17,14106.540000000003,-0.27,13538.765000000003,-0.37,12155.615000000002,-0.47000000000000003,12691.175000000001,12691.175000000001,20789.019999999997
4,-0.01,20018.454999999994,-0.06,18125.955,-0.16,15789.3,-0.16,14132.235,-0.26,13538.765000000003,-0.36,12161.310000000001,-0.46,12691.175000000001,12691.175000000001,20789.019999999997
5,-0.0,20508.269999999997,-0.05,18474.17,-0.15,15875.880000000001,-0.15,14132.235,-0.25,13538.765000000003,-0.35000000000000003,12162.600000000002,-0.45,12691.175000000001,12691.175000000001,20789.019999999997
6,0.0,20508.269999999997,-0.04,18499.344999999998,-0.14,15875.880000000001,-0.14,14231.235000000004,-0.24,13587.635000000004,-0.34,12239.635,-0.44,12691.175000000001,12691.175000000001,20789.019999999997
7,0.01,20547.315,-0.03,18554.285,-0.13,15875.880000000001,-0.13,14283.090000000002,-0.23,13587.635000000004,-0.33,12239.635,-0.43,12691.175000000001,12691.175000000001,20789.019999999997
8,0.02,20629.124999999996,-0.02,18812.284999999996,-0.12,15881.62,-0.12,14472.785,-0.22,13620.220000000001,-0.32,12244.895,-0.42,12691.175000000001,12691.175000000001,20789.019999999997
9,0.03,20681.064999999995,-0.01,19018.344999999994,-0.11,15930.420000000004,-0.11,15106.515000000003,-0.21,13774.605,-0.31,12454.84,-0.41000000000000003,12691.175000000001,12691.175000000001,20789.019999999997
