,eta(H=0.10),payoff(H=0.10),eta(H=0.20),payoff(H=0.20),eta(H=0.30),payoff(H=0.30),eta(H=0.40),payoff(H=0.40),eta(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,11180.149999999998,0.0,11180.149999999998,0.0,11180.149999999998,0.0,11180.149999999998,0.0,11180.149999999998,8778.234999999999,11308.875000000004
1,0.00101010101010101,10979.966149999998,0.0010050251256281408,10862.435399999998,0.001003344481605351,10661.4679,0.0010025062656641604,10431.287550000001,0.001002004008016032,10067.2167,8778.234999999999,11308.875000000004
2,0.00202020202020202,10981.249349999996,0.0020100502512562816,10869.2069,0.002006688963210702,10630.252649999999,0.0020050125313283208,10426.20995,0.002004008016032064,10063.892349999998,8778.234999999999,11308.875000000004
3,0.0030303030303030303,10977.695049999998,0.0030150753768844224,10869.083799999997,0.0030100334448160534,10629.387799999997,0.0030075187969924814,10420.42575,0.0030060120240480957,10037.4945,8778.234999999999,11308.875000000004
4,0.00404040404040404,10955.393399999997,0.004020100502512563,10856.850049999997,0.004013377926421404,10625.847799999996,0.0040100250626566416,10435.865399999999,0.004008016032064128,10103.808800000003,8778.234999999999,11308.875000000004
5,0.00505050505050505,10969.873499999998,0.0050251256281407045,10885.85635,0.005016722408026755,10656.169549999995,0.005012531328320802,10423.517150000001,0.00501002004008016,10101.718550000001,8778.234999999999,11308.875000000004
6,0.006060606060606061,10969.0561,0.006030150753768845,10873.065499999999,0.006020066889632107,10653.378399999998,0.006015037593984963,10437.577350000001,0.0060120240480961915,10098.7397,8778.234999999999,11308.875000000004
7,0.007070707070707071,10969.721549999998,0.007035175879396985,10862.864049999998,0.007023411371237458,10653.600599999998,0.007017543859649123,10424.14955,0.007014028056112224,10052.7715,8778.234999999999,11308.875000000004
8,0.00808080808080808,10960.756649999998,0.008040201005025126,10874.0561,0.008026755852842809,10675.432999999997,0.008020050125313283,10393.648000000003,0.008016032064128256,10070.92845,8778.234999999999,11308.875000000004
9,0.00909090909090909,10977.1561,0.009045226130653268,10893.517349999998,0.00903010033444816,10637.510249999998,0.009022556390977444,10423.1306,0.009018036072144287,10093.845100000002,8778.234999999999,11308.875000000004
10,0.0101010101010101,10976.703599999999,0.010050251256281409,10887.138249999996,0.01003344481605351,10678.617599999998,0.010025062656641603,10444.9987,0.01002004008016032,10101.0716,8778.234999999999,11308.875000000004
11,0.011111111111111112,10971.633049999999,0.011055276381909548,10881.915199999998,0.011036789297658861,10650.198699999997,0.011027568922305764,10435.1111,0.011022044088176352,10083.207900000003,8778.234999999999,11308.875000000004
12,0.012121212121212121,10978.298749999998,0.01206030150753769,10882.98785,0.012040133779264214,10658.53445,0.012030075187969926,10402.02745,0.012024048096192383,10093.077050000004,8778.234999999999,11308.875000000004
13,0.013131313131313131,10960.351399999996,0.013065326633165831,10905.202949999999,0.013043478260869565,10650.043499999996,0.013032581453634085,10445.922450000002,0.013026052104208416,10102.438300000002,8778.234999999999,11308.875000000004
14,0.014141414141414142,10974.61425,0.01407035175879397,10869.6833,0.014046822742474915,10638.037599999996,0.014035087719298246,10425.006300000001,0.014028056112224447,10155.078600000004,8778.234999999999,11308.875000000004
15,0.015151515151515152,10973.157349999998,0.015075376884422112,10870.5373,0.015050167224080266,10632.802999999998,0.015037593984962405,10422.679900000003,0.01503006012024048,10077.3576,8778.234999999999,11308.875000000004
16,0.01616161616161616,10961.9802,0.016080402010050253,10874.13875,0.016053511705685617,10646.276049999997,0.016040100250626566,10478.57755,0.01603206412825651,10093.097500000002,8778.234999999999,11308.875000000004
17,0.01717171717171717,10980.965599999998,0.017085427135678392,10874.251899999997,0.01705685618729097,10643.872949999999,0.017042606516290727,10448.809850000001,0.017034068136272545,10088.625800000002,8778.234999999999,11308.875000000004
18,0.01818181818181818,10981.3642,0.018090452261306535,10862.073349999997,0.01806020066889632,10645.803799999996,0.01804511278195489,10425.31845,0.018036072144288574,10047.275250000002,8778.234999999999,11308.875000000004
19,0.01919191919191919,10983.39025,0.019095477386934675,10884.785749999997,0.01906354515050167,10686.424999999997,0.019047619047619046,10425.16225,0.019038076152304607,10074.334050000001,8778.234999999999,11308.875000000004
20,0.0202020202020202,10964.501699999999,0.020100502512562818,10890.697349999999,0.02006688963210702,10645.394399999997,0.020050125313283207,10418.786300000002,0.02004008016032064,10074.8665,8778.234999999999,11308.875000000004
21,0.021212121212121213,10990.8476,0.021105527638190957,10879.05015,0.021070234113712373,10650.12925,0.021052631578947368,10419.96535,0.02104208416833667,10099.804250000003,8778.234999999999,11308.875000000004
22,0.022222222222222223,10969.409149999998,0.022110552763819097,10855.055599999998,0.022073578595317722,10636.442699999996,0.02205513784461153,10417.444000000001,0.022044088176352703,10111.954150000001,8778.234999999999,11308.875000000004
23,0.023232323232323233,10967.003799999999,0.02311557788944724,10877.315299999998,0.023076923076923075,10616.153549999999,0.02305764411027569,10412.60435,0.023046092184368736,10082.43835,8778.234999999999,11308.875000000004
24,0.024242424242424242,10991.94355,0.02412060301507538,10883.32395,0.024080267558528427,10629.603699999996,0.02406015037593985,10456.5706,0.024048096192384766,10095.211050000002,8778.234999999999,11308.875000000004
25,0.025252525252525252,10961.937199999997,0.02512562814070352,10881.144949999996,0.025083612040133776,10616.137299999999,0.02506265664160401,10432.703250000004,0.0250501002004008,10103.7954,8778.234999999999,11308.875000000004
26,0.026262626262626262,10955.45575,0.026130653266331662,10897.487399999996,0.02608695652173913,10646.820349999998,0.02606516290726817,10417.260400000003,0.026052104208416832,10068.266800000001,8778.234999999999,11308.875000000004
