,eta,pure online,best price,"payoff(Hn=0.100, Hp=0.100)","payoff(Hn=0.200, Hp=0.200)","payoff(Hn=0.300, Hp=0.300)","payoff(Hn=0.400, Hp=0.400)","payoff(Hn=0.500, Hp=0.500)"
0,-0.5,12284.833333333336,21768.544444444444,,,,,12284.833333333336
1,-0.4989979959919839,12284.833333333336,21768.544444444444,,,,,12284.833333333336
2,-0.4979959919839679,12284.833333333336,21768.544444444444,,,,,12284.833333333336
3,-0.49699398797595185,12284.833333333336,21768.544444444444,,,,,12284.833333333336
4,-0.4959919839679358,12284.833333333336,21768.544444444444,,,,,12284.833333333336
5,-0.4949899799599198,12284.833333333336,21768.544444444444,,,,,12284.833333333336
6,-0.49398797595190375,12284.833333333336,21768.544444444444,,,,,12284.833333333336
7,-0.4929859719438877,12284.833333333336,21768.544444444444,,,,,12284.833333333336
8,-0.4919839679358717,12284.833333333336,21768.544444444444,,,,,12284.833333333336
9,-0.49098196392785565,12284.833333333336,21768.544444444444,,,,,12284.833333333336
10,-0.4899799599198396,12284.833333333336,21768.544444444444,,,,,12284.833333333336
11,-0.4889779559118236,12284.833333333336,21768.544444444444,,,,,12284.833333333336
12,-0.48797595190380755,12284.833333333336,21768.544444444444,,,,,12284.833333333336
13,-0.48697394789579157,12284.833333333336,21768.544444444444,,,,,12284.833333333336
14,-0.48597194388777554,12284.833333333336,21768.544444444444,,,,,12284.833333333336
15,-0.4849699398797595,12284.833333333336,21768.544444444444,,,,,12284.833333333336
16,-0.48396793587174347,12284.833333333336,21768.544444444444,,,,,12284.833333333336
17,-0.48296593186372744,12284.833333333336,21768.544444444444,,,,,12284.833333333336
18,-0.4819639278557114,12284.833333333336,21768.544444444444,,,,,12284.833333333336
19,-0.48096192384769537,12284.833333333336,21768.544444444444,,,,,12284.833333333336
20,-0.47995991983967934,12284.833333333336,21768.544444444444,,,,,12284.833333333336
21,-0.4789579158316633,12284.833333333336,21768.544444444444,,,,,12284.833333333336
22,-0.4779559118236473,12284.833333333336,21768.544444444444,,,,,12284.833333333336
23,-0.47695390781563124,12284.833333333336,21768.544444444444,,,,,12284.833333333336
24,-0.4759519038076152,12284.833333333336,21768.544444444444,,,,,12284.833333333336
25,-0.4749498997995992,12284.833333333336,21768.544444444444,,,,,12284.833333333336
26,-0.47394789579158314,12284.833333333336,21768.544444444444,,,,,12284.833333333336
27,-0.4729458917835671,12284.833333333336,21768.544444444444,,,,,12284.833333333336
28,-0.4719438877755511,12284.833333333336,21768.544444444444,,,,,12284.833333333336
29,-0.47094188376753504,12284.833333333336,21768.544444444444,,,,,12284.833333333336
30,-0.469939879759519,12284.833333333336,21768.544444444444,,,,,12284.833333333336
31,-0.468937875751503,12284.833333333336,21768.544444444444,,,,,12284.833333333336
32,-0.46793587174348694,12284.833333333336,21768.544444444444,,,,,12284.833333333336
33,-0.4669338677354709,12284.833333333336,21768.544444444444,,,,,12284.833333333336
34,-0.4659318637274549,12284.833333333336,21768.544444444444,,,,,12284.833333333336
35,-0.46492985971943884,12284.833333333336,21768.544444444444,,,,,12284.833333333336
36,-0.4639278557114228,12284.833333333336,21768.544444444444,,,,,12284.833333333336
37,-0.4629258517034068,12284.833333333336,21768.544444444444,,,,,12284.833333333336
38,-0.46192384769539074,12284.833333333336,21768.544444444444,,,,,12284.833333333336
39,-0.4609218436873747,12284.833333333336,21768.544444444444,,,,,12284.833333333336
40,-0.4599198396793587,12284.833333333336,21768.544444444444,,,,,12284.833333333336
41,-0.45891783567134264,12284.833333333336,21768.544444444444,,,,,12284.833333333336
42,-0.4579158316633266,12284.833333333336,21768.544444444444,,,,,12284.833333333336
43,-0.4569138276553106,12284.833333333336,21768.544444444444,,,,,12284.833333333336
44,-0.45591182364729455,12284.833333333336,21768.544444444444,,,,,12284.833333333336
45,-0.4549098196392785,12284.833333333336,21768.544444444444,,,,,12284.833333333336
