,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.50)
0,-1.543013209271413,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
1,-1.5420125521966588,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
2,-1.5410118951219043,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
3,-1.5400112380471498,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
4,-1.5390105809723953,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
5,-1.5380099238976408,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
6,-1.5370092668228863,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
7,-1.5360086097481318,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
8,-1.5350079526733773,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
9,-1.5340072955986228,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
10,-1.5330066385238683,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
11,-1.5320059814491138,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
12,-1.5310053243743593,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
13,-1.5300046672996048,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
14,-1.5290040102248503,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
15,-1.528003353150096,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
16,-1.5270026960753416,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
17,-1.526002039000587,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
18,-1.5250013819258326,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
19,-1.524000724851078,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
20,-1.5230000677763236,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
21,-1.521999410701569,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
22,-1.5209987536268146,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
23,-1.51999809655206,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
24,-1.5189974394773056,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
25,-1.517996782402551,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
26,-1.5169961253277966,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
27,-1.515995468253042,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
28,-1.5149948111782876,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
29,-1.513994154103533,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
30,-1.5129934970287786,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
31,-1.5119928399540241,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
32,-1.5109921828792698,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
33,-1.5099915258045153,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
34,-1.5089908687297608,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
35,-1.5079902116550064,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
36,-1.5069895545802519,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
37,-1.5059888975054974,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
38,-1.5049882404307429,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
39,-1.5039875833559884,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
40,-1.5029869262812339,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
41,-1.5019862692064794,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
42,-1.5009856121317249,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
43,-1.4999849550569704,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
44,-1.4989842979822159,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
45,-1.4979836409074614,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
46,-1.496982983832707,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
47,-1.4959823267579524,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
48,-1.494981669683198,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
49,-1.4939810126084436,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
50,-1.4929803555336891,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
51,-1.4919796984589346,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
52,-1.4909790413841801,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
53,-1.4899783843094256,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
54,-1.4889777272346711,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
55,-1.4879770701599166,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
56,-1.4869764130851622,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
57,-1.4859757560104077,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
58,-1.4849750989356532,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
59,-1.4839744418608987,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
60,-1.4829737847861442,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
61,-1.4819731277113897,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
62,-1.4809724706366352,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
63,-1.4799718135618807,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
64,-1.4789711564871262,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
65,-1.4779704994123717,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
66,-1.4769698423376174,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
67,-1.475969185262863,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
68,-1.4749685281881084,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
69,-1.473967871113354,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
70,-1.4729672140385994,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
71,-1.471966556963845,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
72,-1.4709658998890904,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
73,-1.469965242814336,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
74,-1.4689645857395814,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
75,-1.467963928664827,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
76,-1.4669632715900724,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
77,-1.465962614515318,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
78,-1.4649619574405635,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
79,-1.463961300365809,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
80,-1.4629606432910545,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
81,-1.4619599862163,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
82,-1.4609593291415455,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
83,-1.4599586720667912,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
84,-1.4589580149920367,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
85,-1.4579573579172822,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
86,-1.4569567008425277,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
87,-1.4559560437677732,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
88,-1.4549553866930187,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
89,-1.4539547296182642,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
90,-1.4529540725435097,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
91,-1.4519534154687552,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
92,-1.4509527583940007,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
93,-1.4499521013192462,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
94,-1.4489514442444917,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
95,-1.4479507871697372,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
96,-1.4469501300949827,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
97,-1.4459494730202282,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
98,-1.4449488159454738,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
99,-1.4439481588707193,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
100,-1.442947501795965,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
101,-1.4419468447212105,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
102,-1.440946187646456,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
103,-1.4399455305717015,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
104,-1.438944873496947,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
105,-1.4379442164221925,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
106,-1.436943559347438,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
107,-1.4359429022726835,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
108,-1.434942245197929,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
109,-1.4339415881231745,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
110,-1.43294093104842,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
111,-1.4319402739736655,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
112,-1.430939616898911,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
113,-1.4299389598241565,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
114,-1.428938302749402,9153.5,10314.2,9153.5,9153.5,9153.5,9153.5
