,H,"payoff('$\eta$ = (0.00H, H)')","payoff('$\eta$ = (0.50H, H)')","payoff('$\eta$ = (0.67H, H)')","payoff('$\eta$ = (0.75H, H)')",pure online,best price
0,0.0,1.1846135000000002,1.1846135000000002,1.1846135000000002,1.1846135000000002,1.1610915,1.1872490000000002
1,1.0,1.1807596420000004,1.1768632480000005,1.1769240380000006,1.1769054140000006,1.1610915,1.1872490000000002
2,2.0,1.1769284210000004,1.173048176000001,1.172305042000001,1.1722985400000006,1.1610915,1.1872490000000002
3,3.0,1.1730638750000013,1.1681525280000022,1.168160318000002,1.167227054000003,1.1610915,1.1872490000000002
4,4.0,1.1694898560000018,1.1650020160000027,1.1641564190000029,1.1640721990000027,1.1610915,1.1872490000000002
5,5.0,1.166541642000002,1.1612032460000021,1.160561496000002,1.160552620000002,1.1610915,1.1872490000000002
6,6.0,1.163764211000002,1.158618452000002,1.1578524020000018,1.1569109410000018,1.1610915,1.1872490000000002
7,7.0,1.1610384360000017,1.1552152350000016,1.154490250000001,1.1538358670000008,1.1610915,1.1872490000000002
8,8.0,1.1587192330000016,1.1531274780000007,1.151935760000001,1.152016369000001,1.1610915,1.1872490000000002
9,9.0,1.1565419630000013,1.150712769000001,1.1501938490000012,1.1496324250000014,1.1610915,1.1872490000000002
10,10.0,1.1543668220000012,1.1492475800000015,1.1483863880000016,1.1479468840000018,1.1610915,1.1872490000000002
11,11.0,1.1526473860000015,1.1476595450000016,1.147055144000002,1.1468220980000023,1.1610915,1.1872490000000002
12,12.0,1.1516387430000017,1.146670988000002,1.1461720100000021,1.1459745290000023,1.1610915,1.1872490000000002
13,13.0,1.1502650230000016,1.1457575360000019,1.145320431000002,1.1451035300000014,1.1610915,1.1872490000000002
14,14.0,1.1491193480000015,1.1452641730000017,1.1448813170000016,1.1447955220000012,1.1610915,1.1872490000000002
15,15.0,1.1485422010000015,1.1448680220000014,1.1447524360000012,1.144745475000001,1.1610915,1.1872490000000002
16,16.0,1.1479689160000017,1.1447850090000014,1.1447397930000012,1.1447407880000013,1.1610915,1.1872490000000002
17,17.0,1.1475006220000012,1.1447407880000013,1.1447379470000012,1.1447370000000012,1.1610915,1.1872490000000002
18,18.0,1.1472199290000016,1.1447379470000012,1.1447370000000012,1.1447370000000012,1.1610915,1.1872490000000002
19,19.0,1.1470693860000014,1.1447370000000012,1.1447370000000012,1.1447370000000012,1.1610915,1.1872490000000002
20,20.0,1.1467423800000014,1.1447370000000012,1.1447370000000012,1.1447370000000012,1.1610915,1.1872490000000002
21,21.0,1.1466527320000013,1.1447370000000012,1.1447370000000012,1.1447370000000012,1.1610915,1.1872490000000002
22,22.0,1.1465669610000009,1.1447370000000012,1.1447370000000012,1.1447370000000012,1.1610915,1.1872490000000002
23,23.0,1.1464700250000008,1.1447370000000012,1.1447370000000012,1.1447437080000011,1.1610915,1.1872490000000002
24,24.0,1.146594805000001,1.1448416650000015,1.1448671810000013,1.1449089460000013,1.1610915,1.1872490000000002
25,25.0,1.146385374000001,1.1447882510000011,1.144834607000001,1.1448916640000013,1.1610915,1.1872490000000002
