,eta,"count(Hn=0.005, Hp=0.005)","count(Hn=0.010, Hp=0.010)","count(Hn=0.020, Hp=0.020)","count(Hn=0.030, Hp=0.030)","count(Hn=0.040, Hp=0.040)"
0,-0.04,,,,,18.0
1,-0.03991983967935872,,,,,18.0
2,-0.03983967935871744,,,,,18.0
3,-0.03975951903807615,,,,,18.0
4,-0.03967935871743487,,,,,18.0
5,-0.03959919839679359,,,,,18.0
6,-0.039519038076152306,,,,,18.0
7,-0.039438877755511026,,,,,18.0
8,-0.039358717434869746,,,,,18.0
9,-0.03927855711422846,,,,,18.0
10,-0.03919839679358718,,,,,18.0
11,-0.0391182364729459,,,,,18.0
12,-0.03903807615230461,,,,,18.0
13,-0.03895791583166333,,,,,18.0
14,-0.03887775551102205,,,,,18.0
15,-0.038797595190380764,,,,,18.0
16,-0.038717434869739484,,,,,18.0
17,-0.038637274549098204,,,,,18.0
18,-0.03855711422845692,,,,,18.0
19,-0.038476953907815636,,,,,18.0
20,-0.03839679358717435,,,,,18.0
21,-0.03831663326653307,,,,,18.0
22,-0.03823647294589179,,,,,18.0
23,-0.0381563126252505,,,,,18.0
24,-0.03807615230460922,,,,,18.0
25,-0.03799599198396794,,,,,18.0
26,-0.037915831663326655,,,,,18.0
27,-0.037835671342685374,,,,,18.0
28,-0.037755511022044094,,,,,18.0
29,-0.03767535070140281,,,,,18.0
30,-0.03759519038076153,,,,,18.0
31,-0.03751503006012025,,,,,18.0
32,-0.03743486973947896,,,,,18.0
33,-0.03735470941883768,,,,,18.0
34,-0.0372745490981964,,,,,18.0
35,-0.03719438877755511,,,,,18.0
36,-0.03711422845691383,,,,,18.0
37,-0.03703406813627255,,,,,18.0
38,-0.036953907815631265,,,,,18.0
39,-0.036873747494989985,,,,,18.0
40,-0.0367935871743487,,,,,18.0
41,-0.03671342685370742,,,,,18.0
42,-0.03663326653306614,,,,,18.0
43,-0.03655310621242485,,,,,18.0
44,-0.03647294589178357,,,,,18.0
45,-0.03639278557114229,,,,,18.0
46,-0.036312625250501,,,,,18.0
47,-0.03623246492985972,,,,,18.0
48,-0.03615230460921844,,,,,18.0
49,-0.036072144288577156,,,,,18.0
50,-0.035991983967935876,,,,,18.0
51,-0.035911823647294595,,,,,18.0
52,-0.03583166332665331,,,,,18.0
53,-0.03575150300601203,,,,,18.0
54,-0.03567134268537075,,,,,18.0
55,-0.03559118236472946,,,,,18.0
56,-0.03551102204408818,,,,,18.0
57,-0.0354308617234469,,,,,18.0
58,-0.035350701402805614,,,,,18.0
59,-0.03527054108216433,,,,,18.0
60,-0.035190380761523046,,,,,18.0
61,-0.035110220440881766,,,,,18.0
62,-0.035030060120240486,,,,,18.0
63,-0.0349498997995992,,,,,18.0
64,-0.03486973947895792,,,,,18.0
65,-0.03478957915831664,,,,,18.0
66,-0.03470941883767535,,,,,18.0
67,-0.03462925851703407,,,,,18.0
68,-0.03454909819639279,,,,,18.0
69,-0.034468937875751504,,,,,18.0
70,-0.034388777555110224,,,,,18.0
71,-0.034308617234468944,,,,,18.0
72,-0.03422845691382766,,,,,18.0
73,-0.03414829659318638,,,,,18.0
74,-0.034068136272545096,,,,,18.0
75,-0.03398797595190381,,,,,18.0
76,-0.03390781563126253,,,,,18.0
