,H,"payoff(eta = (0.00H, H))","payoff(eta = (0.50H, H))","payoff(eta = (0.67H, H))","payoff(eta = (0.75H, H))",pure online,best price
0,0.0,1.1839424999999992,1.1839424999999992,1.1839424999999992,1.1839424999999992,1.1591814999999996,1.1872490000000002
1,1.0,1.1802472750000006,1.1765376720000014,1.1764267655000016,1.1764577085000014,1.1591814999999996,1.1872490000000002
2,2.0,1.1769136875000021,1.1733344565000037,1.1724062210000041,1.1724230365000041,1.1591814999999996,1.1872490000000002
3,3.0,1.1731231505000008,1.1687926125,1.168795033,1.167559102499998,1.1591814999999996,1.1872490000000002
4,4.0,1.1700172265,1.1654861924999984,1.1645836404999994,1.1645578329999993,1.1591814999999996,1.1872490000000002
5,5.0,1.1669512434999993,1.1614873945000002,1.1607230665000001,1.1607361115000001,1.1591814999999996,1.1872490000000002
6,6.0,1.1640227670000007,1.1589730145000012,1.1582203445000014,1.1573557820000024,1.1591814999999996,1.1872490000000002
7,7.0,1.1611735740000009,1.1555992565000024,1.1548260525000014,1.1540353470000013,1.1591814999999996,1.1872490000000002
8,8.0,1.1587216920000014,1.153384532000001,1.1520055335000008,1.1520328555000006,1.1591814999999996,1.1872490000000002
9,9.0,1.156577174000001,1.150835853500001,1.1503082285000008,1.149817423000001,1.1591814999999996,1.1872490000000002
10,10.0,1.1547840160000014,1.1494279750000007,1.148562548000001,1.1480763735000008,1.1591814999999996,1.1872490000000002
11,11.0,1.1529480530000007,1.1479262930000012,1.1471814695000007,1.1469002185000003,1.1591814999999996,1.1872490000000002
12,12.0,1.1515507435000008,1.146845887000001,1.1462824670000007,1.1460005105000008,1.1591814999999996,1.1872490000000002
13,13.0,1.1503397585000008,1.145839612500001,1.1453433020000012,1.1450523745000016,1.1591814999999996,1.1872490000000002
14,14.0,1.1493958765000012,1.1453302300000012,1.144845474000002,1.1447370000000021,1.1591814999999996,1.1872490000000002
15,15.0,1.1487623310000012,1.1448565105000017,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
16,16.0,1.1481621500000014,1.1447926265000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
17,17.0,1.1476951085000011,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
18,18.0,1.1475009130000013,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
19,19.0,1.1471844850000017,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
20,20.0,1.1466958530000013,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
21,21.0,1.146812790500002,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
22,22.0,1.1465096700000017,1.1447370000000021,1.1447370000000021,1.1447370000000021,1.1591814999999996,1.1872490000000002
23,23.0,1.146323375000002,1.1447375935000021,1.1447379470000023,1.1447370000000021,1.1591814999999996,1.1872490000000002
24,24.0,1.146417174500002,1.144854800000002,1.144933652500002,1.1449940730000019,1.1591814999999996,1.1872490000000002
25,25.0,1.1463514315000016,1.1448673395000017,1.1448980065000018,1.144977047000002,1.1591814999999996,1.1872490000000002
