,"eta(Hn=0.05, Hp=0.05)","payoff(Hn=0.05, Hp=0.05)","eta(Hn=0.10, Hp=0.10)","payoff(Hn=0.10, Hp=0.10)","eta(Hn=0.20, Hp=0.20)","payoff(Hn=0.20, Hp=0.20)","eta(Hn=0.20, Hp=0.30)","payoff(Hn=0.20, Hp=0.30)","eta(Hn=0.30, Hp=0.30)","payoff(Hn=0.30, Hp=0.30)","eta(Hn=0.40, Hp=0.40)","payoff(Hn=0.40, Hp=0.40)","eta(Hn=0.50, Hp=0.50)","payoff(Hn=0.50, Hp=0.50)",pure online,best price
34,,,,,0.13,1.1610915,0.13,1.1610915,0.03,1.1610915,-0.06,1.1610915,-0.16,1.1610915,1.1610915,1.1872490000000002
35,,,,,0.14,1.1610915,0.14,1.1610915,0.04,1.1610915,-0.05,1.1610915,-0.15,1.1610915,1.1610915,1.1872490000000002
36,,,,,0.15,1.1610915,0.15,1.1610915,0.05,1.1610915,-0.04,1.1610915,-0.14,1.1610915,1.1610915,1.1872490000000002
37,,,,,0.16,1.1610915,0.16,1.1610915,0.06,1.1610915,-0.03,1.1610915,-0.13,1.1610915,1.1610915,1.1872490000000002
38,,,,,0.17,1.1610915,0.17,1.1610915,0.07,1.1610915,-0.02,1.1610915,-0.12,1.1610915,1.1610915,1.1872490000000002
39,,,,,0.18,1.1610915,0.18,1.1610915,0.08,1.1610915,-0.01,1.1610915,-0.11,1.1610915,1.1610915,1.1872490000000002
40,,,,,0.19,1.1610915,0.19,1.1610915,0.09,1.1610915,-0.0,1.1610915,-0.1,1.1610915,1.1610915,1.1872490000000002
41,,,,,0.2,1.1610915,0.2,1.1610915,0.1,1.1610915,0.0,1.1610915,-0.09,1.1610915,1.1610915,1.1872490000000002
42,,,,,,,0.21,1.1610915,0.11,1.1610915,0.01,1.1610915,-0.08,1.1610915,1.1610915,1.1872490000000002
43,,,,,,,0.22,1.1610915,0.12,1.1610915,0.02,1.1610915,-0.07,1.1610915,1.1610915,1.1872490000000002
44,,,,,,,0.23,1.1610915,0.13,1.1610915,0.03,1.1610915,-0.06,1.1610915,1.1610915,1.1872490000000002
45,,,,,,,0.24,1.1610915,0.14,1.1610915,0.04,1.1610915,-0.05,1.1610915,1.1610915,1.1872490000000002
46,,,,,,,0.25,1.1610915,0.15,1.1610915,0.05,1.1610915,-0.04,1.1610915,1.1610915,1.1872490000000002
47,,,,,,,0.26,1.1610915,0.16,1.1610915,0.06,1.1610915,-0.03,1.1610915,1.1610915,1.1872490000000002
48,,,,,,,0.27,1.1610915,0.17,1.1610915,0.07,1.1610915,-0.02,1.1610915,1.1610915,1.1872490000000002
49,,,,,,,0.28,1.1610915,0.18,1.1610915,0.08,1.1610915,-0.01,1.1610915,1.1610915,1.1872490000000002
50,,,,,,,0.29,1.1610915,0.19,1.1610915,0.09,1.1610915,-0.0,1.1610915,1.1610915,1.1872490000000002
51,,,,,,,0.3,1.1610915,0.2,1.1610915,0.1,1.1610915,0.0,1.1610915,1.1610915,1.1872490000000002
52,,,,,,,,,0.21,1.1610915,0.11,1.1610915,0.01,1.1610915,1.1610915,1.1872490000000002
53,,,,,,,,,0.22,1.1610915,0.12,1.1610915,0.02,1.1610915,1.1610915,1.1872490000000002
54,,,,,,,,,0.23,1.1610915,0.13,1.1610915,0.03,1.1610915,1.1610915,1.1872490000000002
55,,,,,,,,,0.24,1.1610915,0.14,1.1610915,0.04,1.1610915,1.1610915,1.1872490000000002
56,,,,,,,,,0.25,1.1610915,0.15,1.1610915,0.05,1.1610915,1.1610915,1.1872490000000002
57,,,,,,,,,0.26,1.1610915,0.16,1.1610915,0.06,1.1610915,1.1610915,1.1872490000000002
58,,,,,,,,,0.27,1.1610915,0.17,1.1610915,0.07,1.1610915,1.1610915,1.1872490000000002
59,,,,,,,,,0.28,1.1610915,0.18,1.1610915,0.08,1.1610915,1.1610915,1.1872490000000002
60,,,,,,,,,0.29,1.1610915,0.19,1.1610915,0.09,1.1610915,1.1610915,1.1872490000000002
61,,,,,,,,,0.3,1.1610915,0.2,1.1610915,0.1,1.1610915,1.1610915,1.1872490000000002
62,,,,,,,,,,,0.21,1.1610915,0.11,1.1610915,1.1610915,1.1872490000000002
63,,,,,,,,,,,0.22,1.1610915,0.12,1.1610915,1.1610915,1.1872490000000002
64,,,,,,,,,,,0.23,1.1610915,0.13,1.1610915,1.1610915,1.1872490000000002
65,,,,,,,,,,,0.24,1.1610915,0.14,1.1610915,1.1610915,1.1872490000000002
66,,,,,,,,,,,0.25,1.1610915,0.15,1.1610915,1.1610915,1.1872490000000002
67,,,,,,,,,,,0.26,1.1610915,0.16,1.1610915,1.1610915,1.1872490000000002
68,,,,,,,,,,,0.27,1.1610915,0.17,1.1610915,1.1610915,1.1872490000000002
69,,,,,,,,,,,0.28,1.1610915,0.18,1.1610915,1.1610915,1.1872490000000002
70,,,,,,,,,,,0.29,1.1610915,0.19,1.1610915,1.1610915,1.1872490000000002
71,,,,,,,,,,,0.3,1.1610915,0.2,1.1610915,1.1610915,1.1872490000000002
72,,,,,,,,,,,0.31,1.1610915,0.21,1.1610915,1.1610915,1.1872490000000002
73,,,,,,,,,,,0.32,1.1610915,0.22,1.1610915,1.1610915,1.1872490000000002
74,,,,,,,,,,,0.33,1.1610915,0.23,1.1610915,1.1610915,1.1872490000000002
75,,,,,,,,,,,0.34,1.1610915,0.24,1.1610915,1.1610915,1.1872490000000002
76,,,,,,,,,,,0.35000000000000003,1.1610915,0.25,1.1610915,1.1610915,1.1872490000000002
77,,,,,,,,,,,0.36,1.1610915,0.26,1.1610915,1.1610915,1.1872490000000002
78,,,,,,,,,,,0.37,1.1610915,0.27,1.1610915,1.1610915,1.1872490000000002
79,,,,,,,,,,,0.38,1.1610915,0.28,1.1610915,1.1610915,1.1872490000000002
80,,,,,,,,,,,0.39,1.1610915,0.29,1.1610915,1.1610915,1.1872490000000002
81,,,,,,,,,,,0.4,1.1610915,0.3,1.1610915,1.1610915,1.1872490000000002
82,,,,,,,,,,,,,0.31,1.1610915,1.1610915,1.1872490000000002
