,eta,pure online,best price,payoff(r=0.50),payoff(r=0.75),payoff(r=1.00),payoff(r=1.50)
77,-3.0198766311294865,217.3,281.8,183.4,183.4,183.4,183.4
78,-3.0188760093166533,217.3,281.8,183.4,183.4,183.4,183.4
79,-3.0178753875038207,217.3,281.8,183.4,183.4,183.4,183.4
80,-3.016874765690988,217.3,281.8,183.4,183.4,183.4,183.4
81,-3.015874143878155,217.3,281.8,183.4,183.4,183.4,183.4
82,-3.014873522065322,217.3,281.8,183.4,183.4,183.4,183.4
83,-3.0138729002524896,217.3,281.8,183.4,183.4,183.4,183.4
84,-3.0128722784396564,217.3,281.8,183.4,183.4,183.4,183.4
85,-3.0118716566268238,217.3,281.8,183.4,183.4,183.4,183.4
86,-3.0108710348139907,217.3,281.8,183.4,183.4,183.4,183.4
87,-3.009870413001158,217.3,281.8,183.4,183.4,183.4,183.4
88,-3.0088697911883253,217.3,281.8,183.4,183.4,183.4,183.4
89,-3.007869169375492,217.3,281.8,183.4,183.4,183.4,183.4
90,-3.0068685475626595,217.3,281.8,183.4,183.4,183.4,183.4
91,-3.005867925749827,217.3,281.8,183.4,183.4,183.4,183.4
92,-3.0048673039369937,217.3,281.8,183.4,183.4,183.4,183.4
93,-3.003866682124161,217.3,281.8,183.4,183.4,183.4,183.4
94,-3.0028660603113284,217.3,281.8,183.4,183.4,183.4,183.4
95,-3.0018654384984953,217.3,281.8,183.4,183.4,183.4,183.4
96,-3.0008648166856626,217.3,281.8,183.4,183.4,183.4,183.4
97,-2.9998641948728295,217.3,281.8,183.4,183.4,183.4,183.4
98,-2.998863573059997,217.3,281.8,183.4,183.4,183.4,183.4
99,-2.997862951247164,217.3,281.8,183.4,183.4,183.4,183.4
100,-2.996862329434331,217.3,281.8,183.4,183.4,183.4,183.4
101,-2.9958617076214984,217.3,281.8,183.4,183.4,183.4,183.4
102,-2.9948610858086657,217.3,281.8,183.4,183.4,183.4,183.4
103,-2.9938604639958326,217.3,281.8,183.4,183.4,183.4,183.4
104,-2.992859842183,217.3,281.8,183.4,183.4,183.4,183.4
105,-2.9918592203701673,217.3,281.8,183.4,183.4,183.4,183.4
106,-2.990858598557334,217.3,281.8,183.4,183.4,183.4,183.4
107,-2.9898579767445015,217.3,281.8,183.4,183.4,183.4,183.4
108,-2.9888573549316684,217.3,281.8,183.4,183.4,183.4,183.4
109,-2.9878567331188357,217.3,281.8,183.4,183.4,183.4,183.4
110,-2.986856111306003,217.3,281.8,183.4,183.4,183.4,183.4
111,-2.98585548949317,217.3,281.8,183.4,183.4,183.4,183.4
112,-2.9848548676803373,217.3,281.8,183.4,183.4,183.4,183.4
113,-2.9838542458675046,217.3,281.8,183.4,183.4,183.4,183.4
114,-2.9828536240546715,217.3,281.8,183.4,183.4,183.4,183.4
115,-2.981853002241839,217.3,281.8,183.4,183.4,183.4,183.4
116,-2.9808523804290057,217.3,281.8,183.4,183.4,183.4,183.4
117,-2.979851758616173,217.3,281.8,183.4,183.4,183.4,183.4
118,-2.9788511368033403,217.3,281.8,183.4,183.4,183.4,183.4
119,-2.9778505149905072,217.3,281.8,183.4,183.4,183.4,183.4
120,-2.9768498931776746,217.3,281.8,183.4,183.4,183.4,183.4
121,-2.975849271364842,217.3,281.8,183.4,183.4,183.4,183.4
122,-2.974848649552009,217.3,281.8,183.4,183.4,183.4,183.4
123,-2.973848027739176,217.3,281.8,183.4,183.4,183.4,183.4
124,-2.9728474059263434,217.3,281.8,183.4,183.4,183.4,183.4
125,-2.9718467841135103,217.3,281.8,183.4,183.4,183.4,183.4
126,-2.9708461623006777,217.3,281.8,183.4,183.4,183.4,183.4
127,-2.9698455404878445,217.3,281.8,183.4,183.4,183.4,183.4
128,-2.968844918675012,217.3,281.8,183.4,183.4,183.4,183.4
129,-2.967844296862179,217.3,281.8,183.4,183.4,183.4,183.4
130,-2.966843675049346,217.3,281.8,183.4,183.4,183.4,183.4
131,-2.9658430532365134,217.3,281.8,183.4,183.4,183.4,183.4
132,-2.9648424314236808,217.3,281.8,183.4,183.4,183.4,183.4
133,-2.9638418096108476,217.3,281.8,183.4,183.4,183.4,183.4
134,-2.962841187798015,217.3,281.8,183.4,183.4,183.4,183.4
135,-2.9618405659851823,217.3,281.8,183.4,183.4,183.4,183.4
136,-2.960839944172349,217.3,281.8,183.4,183.4,183.4,183.4
137,-2.9598393223595165,217.3,281.8,183.4,183.4,183.4,183.4
138,-2.9588387005466834,217.3,281.8,183.4,183.4,183.4,183.4
139,-2.9578380787338507,217.3,281.8,183.4,183.4,183.4,183.4
140,-2.956837456921018,217.3,281.8,183.4,183.4,183.4,183.4
141,-2.955836835108185,217.3,281.8,183.4,183.4,183.4,183.4
142,-2.9548362132953523,217.3,281.8,183.4,183.4,183.4,183.4
143,-2.9538355914825196,217.3,281.8,183.4,183.4,183.4,183.4
144,-2.9528349696696865,217.3,281.8,183.4,183.4,183.4,183.4
145,-2.951834347856854,217.3,281.8,183.4,183.4,183.4,183.4
146,-2.950833726044021,217.3,281.8,183.4,183.4,183.4,183.4
147,-2.949833104231188,217.3,281.8,183.4,183.4,183.4,183.4
148,-2.9488324824183554,217.3,281.8,183.4,183.4,183.4,183.4
149,-2.9478318606055223,217.3,281.8,183.4,183.4,183.4,183.4
150,-2.9468312387926896,217.3,281.8,183.4,183.4,183.4,183.4
151,-2.945830616979857,217.3,281.8,183.4,183.4,183.4,183.4
152,-2.944829995167024,217.3,281.8,183.4,183.4,183.4,183.4
153,-2.943829373354191,217.3,281.8,183.4,183.4,183.4,183.4
154,-2.9428287515413585,217.3,281.8,183.4,183.4,183.4,183.4
155,-2.9418281297285254,217.3,281.8,183.4,183.4,183.4,183.4
156,-2.9408275079156927,217.3,281.8,183.4,183.4,183.4,183.4
157,-2.9398268861028596,217.3,281.8,183.4,183.4,183.4,183.4
158,-2.938826264290027,217.3,281.8,183.4,183.4,183.4,183.4
159,-2.9378256424771942,217.3,281.8,183.4,183.4,183.4,183.4
160,-2.936825020664361,217.3,281.8,183.4,183.4,183.4,183.4
161,-2.9358243988515285,217.3,281.8,183.4,183.4,183.4,183.4
162,-2.934823777038696,217.3,281.8,183.4,183.4,183.4,183.4
163,-2.9338231552258627,217.3,281.8,183.4,183.4,183.4,183.4
164,-2.93282253341303,217.3,281.8,183.4,183.4,183.4,183.4
165,-2.9318219116001973,217.3,281.8,183.4,183.4,183.4,183.4
166,-2.9308212897873642,217.3,281.8,183.4,183.4,183.4,183.4
167,-2.9298206679745316,217.3,281.8,183.4,183.4,183.4,183.4
168,-2.9288200461616984,217.3,281.8,183.4,183.4,183.4,183.4
169,-2.9278194243488658,217.3,281.8,183.4,183.4,183.4,183.4
170,-2.926818802536033,217.3,281.8,183.4,183.4,183.4,183.4
171,-2.9258181807232,217.3,281.8,183.4,183.4,183.4,183.4
172,-2.9248175589103673,217.3,281.8,183.4,183.4,183.4,183.4
173,-2.9238169370975347,217.3,281.8,183.4,183.4,183.4,183.4
174,-2.9228163152847015,217.3,281.8,183.4,183.4,183.4,183.4
175,-2.921815693471869,217.3,281.8,183.4,183.4,183.4,183.4
176,-2.920815071659036,217.3,281.8,183.4,183.4,183.4,183.4
177,-2.919814449846203,217.3,281.8,183.4,183.4,183.4,183.4
178,-2.9188138280333704,217.3,281.8,183.4,183.4,183.4,183.4
179,-2.9178132062205373,217.3,281.8,183.4,183.4,183.4,183.4
180,-2.9168125844077046,217.3,281.8,183.4,183.4,183.4,183.4
181,-2.915811962594872,217.3,281.8,183.4,183.4,183.4,183.4
182,-2.914811340782039,217.3,281.8,183.4,183.4,183.4,183.4
183,-2.913810718969206,217.3,281.8,183.4,183.4,183.4,183.4
184,-2.9128100971563735,217.3,281.8,183.4,183.4,183.4,183.4
185,-2.9118094753435404,217.3,281.8,183.4,183.4,183.4,183.4
186,-2.9108088535307077,217.3,281.8,183.4,183.4,183.4,183.4
187,-2.909808231717875,217.3,281.8,183.4,183.4,183.4,183.4
188,-2.908807609905042,217.3,281.8,183.4,183.4,183.4,183.4
189,-2.9078069880922093,217.3,281.8,183.4,183.4,183.4,183.4
190,-2.906806366279376,217.3,281.8,183.4,183.4,183.4,183.4
191,-2.9058057444665435,217.3,281.8,183.4,183.4,183.4,183.4
192,-2.904805122653711,217.3,281.8,183.4,183.4,183.4,183.4
193,-2.9038045008408777,217.3,281.8,183.4,183.4,183.4,183.4
194,-2.902803879028045,217.3,281.8,183.4,183.4,183.4,183.4
195,-2.9018032572152124,217.3,281.8,183.4,183.4,183.4,183.4
196,-2.9008026354023793,217.3,281.8,183.4,183.4,183.4,183.4
197,-2.8998020135895466,217.3,281.8,183.4,183.4,183.4,183.4
198,-2.8988013917767135,217.3,281.8,183.4,183.4,183.4,183.4
199,-2.897800769963881,217.3,281.8,183.4,183.4,183.4,183.4
