,eta,pure online,best price,"payoff(Hn=0.100, Hp=0.100)","payoff(Hn=0.200, Hp=0.200)","payoff(Hn=0.300, Hp=0.300)","payoff(Hn=0.400, Hp=0.400)","payoff(Hn=0.500, Hp=0.500)"
0,-0.5,477.58500000000004,977.1200000000001,,,,,777.4300000000001
1,-0.4989979959919839,477.58500000000004,977.1200000000001,,,,,777.4300000000001
2,-0.4979959919839679,477.58500000000004,977.1200000000001,,,,,777.4300000000001
3,-0.49699398797595185,477.58500000000004,977.1200000000001,,,,,777.2249999999999
4,-0.4959919839679358,477.58500000000004,977.1200000000001,,,,,777.2249999999999
5,-0.4949899799599198,477.58500000000004,977.1200000000001,,,,,777.2249999999999
6,-0.49398797595190375,477.58500000000004,977.1200000000001,,,,,777.2249999999999
7,-0.4929859719438877,477.58500000000004,977.1200000000001,,,,,777.2249999999999
8,-0.4919839679358717,477.58500000000004,977.1200000000001,,,,,776.8599999999999
9,-0.49098196392785565,477.58500000000004,977.1200000000001,,,,,776.8599999999999
10,-0.4899799599198396,477.58500000000004,977.1200000000001,,,,,776.8599999999999
11,-0.4889779559118236,477.58500000000004,977.1200000000001,,,,,776.8599999999999
12,-0.48797595190380755,477.58500000000004,977.1200000000001,,,,,776.8599999999999
13,-0.48697394789579157,477.58500000000004,977.1200000000001,,,,,776.8599999999999
14,-0.48597194388777554,477.58500000000004,977.1200000000001,,,,,776.8599999999999
15,-0.4849699398797595,477.58500000000004,977.1200000000001,,,,,776.8599999999999
16,-0.48396793587174347,477.58500000000004,977.1200000000001,,,,,776.8599999999999
17,-0.48296593186372744,477.58500000000004,977.1200000000001,,,,,776.8599999999999
18,-0.4819639278557114,477.58500000000004,977.1200000000001,,,,,776.8599999999999
19,-0.48096192384769537,477.58500000000004,977.1200000000001,,,,,776.8599999999999
20,-0.47995991983967934,477.58500000000004,977.1200000000001,,,,,776.8599999999999
21,-0.4789579158316633,477.58500000000004,977.1200000000001,,,,,776.8599999999999
22,-0.4779559118236473,477.58500000000004,977.1200000000001,,,,,776.8599999999999
23,-0.47695390781563124,477.58500000000004,977.1200000000001,,,,,776.8599999999999
24,-0.4759519038076152,477.58500000000004,977.1200000000001,,,,,776.8599999999999
25,-0.4749498997995992,477.58500000000004,977.1200000000001,,,,,776.8599999999999
26,-0.47394789579158314,477.58500000000004,977.1200000000001,,,,,776.8599999999999
27,-0.4729458917835671,477.58500000000004,977.1200000000001,,,,,776.8599999999999
28,-0.4719438877755511,477.58500000000004,977.1200000000001,,,,,776.8599999999999
29,-0.47094188376753504,477.58500000000004,977.1200000000001,,,,,754.04
30,-0.469939879759519,477.58500000000004,977.1200000000001,,,,,754.04
31,-0.468937875751503,477.58500000000004,977.1200000000001,,,,,754.04
32,-0.46793587174348694,477.58500000000004,977.1200000000001,,,,,751.85
33,-0.4669338677354709,477.58500000000004,977.1200000000001,,,,,751.85
34,-0.4659318637274549,477.58500000000004,977.1200000000001,,,,,751.85
35,-0.46492985971943884,477.58500000000004,977.1200000000001,,,,,751.85
36,-0.4639278557114228,477.58500000000004,977.1200000000001,,,,,751.85
37,-0.4629258517034068,477.58500000000004,977.1200000000001,,,,,751.85
38,-0.46192384769539074,477.58500000000004,977.1200000000001,,,,,751.85
39,-0.4609218436873747,477.58500000000004,977.1200000000001,,,,,751.85
40,-0.4599198396793587,477.58500000000004,977.1200000000001,,,,,751.85
41,-0.45891783567134264,477.58500000000004,977.1200000000001,,,,,751.85
42,-0.4579158316633266,477.58500000000004,977.1200000000001,,,,,751.85
43,-0.4569138276553106,477.58500000000004,977.1200000000001,,,,,751.85
44,-0.45591182364729455,477.58500000000004,977.1200000000001,,,,,751.85
45,-0.4549098196392785,477.58500000000004,977.1200000000001,,,,,751.85
46,-0.4539078156312625,477.58500000000004,977.1200000000001,,,,,751.85
47,-0.45290581162324645,477.58500000000004,977.1200000000001,,,,,751.85
48,-0.4519038076152304,477.58500000000004,977.1200000000001,,,,,751.85
49,-0.4509018036072144,477.58500000000004,977.1200000000001,,,,,751.85
50,-0.44989979959919835,477.58500000000004,977.1200000000001,,,,,751.85
51,-0.4488977955911823,477.58500000000004,977.1200000000001,,,,,751.85
52,-0.4478957915831663,477.58500000000004,977.1200000000001,,,,,751.85
53,-0.44689378757515025,477.58500000000004,977.1200000000001,,,,,751.85
54,-0.4458917835671342,477.58500000000004,977.1200000000001,,,,,751.85
55,-0.4448897795591182,477.58500000000004,977.1200000000001,,,,,751.85
56,-0.44388777555110215,477.58500000000004,977.1200000000001,,,,,751.85
57,-0.4428857715430861,477.58500000000004,977.1200000000001,,,,,751.85
58,-0.4418837675350701,477.58500000000004,977.1200000000001,,,,,751.85
59,-0.44088176352705405,477.58500000000004,977.1200000000001,,,,,751.85
60,-0.439879759519038,477.58500000000004,977.1200000000001,,,,,751.85
61,-0.438877755511022,477.58500000000004,977.1200000000001,,,,,751.85
62,-0.43787575150300595,477.58500000000004,977.1200000000001,,,,,748.1200000000001
63,-0.4368737474949899,477.58500000000004,977.1200000000001,,,,,748.1200000000001
64,-0.43587174348697394,477.58500000000004,977.1200000000001,,,,,748.1200000000001
65,-0.4348697394789579,477.58500000000004,977.1200000000001,,,,,748.1200000000001
66,-0.4338677354709419,477.58500000000004,977.1200000000001,,,,,748.1200000000001
67,-0.43286573146292584,477.58500000000004,977.1200000000001,,,,,748.1200000000001
68,-0.4318637274549098,477.58500000000004,977.1200000000001,,,,,748.1200000000001
69,-0.4308617234468938,477.58500000000004,977.1200000000001,,,,,748.1200000000001
