,H,"payoff(eta = (0.00H, H))","payoff(eta = (0.50H, H))","payoff(eta = (0.67H, H))","payoff(eta = (0.75H, H))",pure online,best price
0,0.0,859.8099999999913,859.8099999999913,859.8099999999913,859.8099999999913,477.58500000000004,977.1200000000001
1,1.0,801.7636749999986,746.0953550000047,746.4067050000048,747.4906950000047,477.58500000000004,977.1200000000001
2,2.0,746.3132799999963,690.5648849999986,678.6056250000001,679.209495,477.58500000000004,977.1200000000001
3,3.0,695.3405999999999,626.4636650000032,625.4090650000031,608.5381500000028,477.58500000000004,977.1200000000001
4,4.0,641.9194700000005,572.7956200000011,556.5857900000005,556.3295750000004,477.58500000000004,977.1200000000001
5,5.0,597.5371199999997,517.2965549999996,508.5084749999993,509.0937799999995,477.58500000000004,977.1200000000001
6,6.0,560.745994999999,485.6819849999998,477.21207000000004,467.07908000000043,477.58500000000004,977.1200000000001
7,7.0,524.2663499999992,447.96224000000063,438.471745000001,431.59504000000106,477.58500000000004,977.1200000000001
8,8.0,495.7535749999996,422.9742800000008,409.4253100000009,409.44247000000087,477.58500000000004,977.1200000000001
9,9.0,468.4954850000001,396.4867600000005,389.9866400000002,384.78163000000006,477.58500000000004,977.1200000000001
10,10.0,448.3814550000003,377.42802999999975,365.6171049999996,358.85060999999945,477.58500000000004,977.1200000000001
11,11.0,425.37185500000004,354.9728149999995,344.2837799999993,338.82839499999943,477.58500000000004,977.1200000000001
12,12.0,407.3172249999999,340.58183999999966,332.0481099999995,328.9415699999995,477.58500000000004,977.1200000000001
13,13.0,391.6749849999999,328.3116199999995,323.43303499999945,321.8773349999994,477.58500000000004,977.1200000000001
14,14.0,378.6788249999999,323.9897499999994,320.5756799999994,320.2999999999994,477.58500000000004,977.1200000000001
15,15.0,372.67636999999996,320.97094999999933,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
16,16.0,366.6953600000001,320.43826999999936,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
17,17.0,357.16004,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
18,18.0,354.20218999999986,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
19,19.0,347.4532949999999,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
20,20.0,347.45869999999985,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
21,21.0,347.53123999999997,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
22,22.0,345.4514549999999,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
23,23.0,346.8218699999999,320.2999999999994,320.2999999999994,320.2999999999994,477.58500000000004,977.1200000000001
24,24.0,346.2539749999999,321.9884649999994,322.5734999999994,325.8613149999995,477.58500000000004,977.1200000000001
25,25.0,340.9434949999998,323.41880499999945,323.1486099999994,323.8200299999995,477.58500000000004,977.1200000000001
