,Number of wrong bit(H=0.10),count(H=0.10),Number of wrong bit(H=0.20),count(H=0.20),Number of wrong bit(H=0.30),count(H=0.30),Number of wrong bit(H=0.40),count(H=0.40),Number of wrong bit(H=0.50),count(H=0.50)
0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
1,1.0,20.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,20.0
2,2.0,20.0,2.0,20.0,2.0,20.0,2.0,20.0,2.0,12.0
3,3.0,20.0,3.0,20.0,3.0,20.0,3.0,20.0,3.0,12.0
4,,,4.0,20.0,4.0,20.0,4.0,14.0,4.0,12.0
5,,,5.0,20.0,5.0,20.0,5.0,12.0,5.0,12.0
6,,,,,6.0,18.0,6.0,12.0,6.0,12.0
7,,,,,7.0,17.0,7.0,12.0,7.0,12.0
8,,,,,8.0,12.0,8.0,12.0,8.0,12.0
9,,,,,,,9.0,12.0,9.0,12.0
10,,,,,,,10.0,12.0,10.0,12.0
11,,,,,,,,,11.0,12.0
12,,,,,,,,,12.0,12.0
13,,,,,,,,,13.0,12.0
